object_id,ra,dec,tileid,spe_context_error_flag,spe_context_warning_flag,spe_error_flag,spe_warning_flag,spe_grism,spe_npix,spe_z,spe_z_err,spe_z_rel,spe_cont_snr,spe_subclass,best_line_snr
2719344544672653759,271.934454497911,67.26537593626342,102160061,0,32768,0,2,RGS,440,1.3635159730911255,0.0011556948302313685,0.29972901940345764,53.44198226928711,BX_Scd,0.0
2719347116676295056,271.93471169079083,67.62950560301181,102160061,0,32768,0,2,RGS,285,3.039214849472046,0.0011732757557183504,0.8046807050704956,28.062227249145508,BX_Scd,0.0
2719347504676382677,271.9347504119859,67.6382677845074,102160061,0,32768,0,2,RGS,364,1.612872838973999,0.0006774941575713456,0.1065339520573616,69.35208892822266,Sbc,3.681133985519409
2719348517675099527,271.9348517231465,67.5099527405839,102160061,0,32768,0,2,RGS,307,1.422621726989746,0.0007853351999074221,0.5194048285484314,85.74861145019531,BX_Scd,0.0
2719348676675895351,271.93486768733976,67.58953517557251,102160061,0,32768,0,2,RGS,290,1.0496116876602173,0.000389640947105363,0.8486394882202148,75.87355041503906,BX_Scd,0.0
2719349421675967503,271.9349421989067,67.59675033033098,102160061,0,32768,0,2,RGS,92,0.9924206733703613,0.000997869879938662,0.12814830243587494,14.294960021972656,BX_SB3,16.332521438598633
2719350332673620405,271.9350332057533,67.36204050384629,102160061,0,32768,0,2,RGS,467,2.693410634994507,0.0007120061782188714,0.9889971017837524,83.75992584228516,Sbc,0.0
2719350415675074152,271.9350415584048,67.50741524295177,102160061,0,32768,0,2,RGS,450,0.9890364408493042,0.0012019980931654572,0.7381940484046936,6.021094799041748,Lya_em_Scd,6.353370189666748
2719350855676295426,271.9350855203008,67.62954266907367,102160061,0,32768,0,2,RGS,327,1.558318853378296,0.0008004165720194578,0.0890018418431282,37.723079681396484,BX_Scd,0.0
2719354109675119360,271.9354109833801,67.51193604099466,102160061,0,32768,0,2,RGS,207,1.0720746517181396,0.0009619399788789451,0.5381486415863037,6.538153171539307,Lya_abs_SB3,0.0
